sample_id,t_AlGaN_nm,x_AlGaN,N_AlGaN_cm3,t_pGaN_nm,N_pGaN_cm3,Lgd_um,group
000040,10.106304,0.31458081,4.7109521e+15,42.118268,2.0442612e+17,3.9588138,base_800
000041,12.744762,0.26018361,6.6802779e+15,73.572883,2.8410783e+17,3.4614228,base_800
000042,10.103383,0.29216574,2.1091552e+15,76.345368,1.0790808e+17,2.2389117,base_800
000043,16.743218,0.31284156,2.0424087e+15,83.035908,6.5057469e+16,1.6128451,base_800
000044,11.218941,0.29198144,1.7829051e+16,83.391597,7.5370613e+16,1.7607502,base_800
000045,15.354438,0.31581998,6.4351476e+15,47.274198,1.4664728e+17,1.9170654,base_800
000046,14.932034,0.27075214,2.8903329e+15,56.219319,5.9991678e+16,3.3049105,base_800
000047,20.408859,0.19697728,4.2715577e+16,87.938339,1.6987647e+17,2.6321185,base_800
000048,15.62605,0.27812402,2.2999386e+15,46.86562,1.3506853e+17,2.5830004,base_800
000049,19.794116,0.20503107,5.8057541e+15,51.777182,5.4401212e+16,3.3493891,base_800
000050,12.066409,0.19546829,7.1068794e+15,61.526119,1.7800813e+17,2.9614621,base_800
000051,18.131621,0.19768247,3.4955244e+15,65.818218,1.0271076e+17,3.3837059,base_800
000052,17.756229,0.31100341,2.484847e+16,60.825176,5.4098201e+16,2.7363292,base_800
000053,21.468238,0.20837242,3.7013381e+15,40.765272,7.1663804e+16,2.2509039,base_800
000054,17.53591,0.30517583,1.4612197e+16,87.522316,1.0950336e+17,1.6332843,base_800
000055,12.458581,0.31203154,5.7756657e+15,57.655266,9.7896104e+16,1.5867408,base_800
000056,21.752633,0.19441678,1.1380891e+15,51.849265,5.0008188e+16,1.9337494,base_800
000057,10.488043,0.22596202,9.0085024e+15,62.483932,1.4268556e+17,1.6085203,base_800
000058,20.027839,0.27537452,1.0863837e+15,40.08817,3.0471316e+17,3.0318916,base_800
000059,14.446415,0.21112993,7.7314535e+15,73.875716,2.0384936e+17,1.5616409,base_800
000060,18.529534,0.18970859,2.3192359e+16,59.206618,7.0993659e+16,2.3302566,base_800
000061,17.296285,0.22466325,5.9726118e+15,41.418521,7.8866108e+16,1.522516,base_800
000062,17.653175,0.18207145,4.9376242e+16,58.015844,1.0275155e+17,2.4406513,base_800
000063,18.637123,0.24434021,4.3045618e+16,41.983409,1.1596977e+17,3.2001664,base_800
000064,18.773224,0.24949562,2.7512502e+15,55.907383,5.2279186e+16,3.9052953,base_800
000065,11.965869,0.28965178,1.0597271e+16,37.366593,1.8113674e+17,1.5365546,base_800
000066,14.019808,0.20331975,9.8100721e+15,51.460142,3.9363631e+17,3.3388316,base_800
000067,18.7463,0.28094924,4.0858574e+15,72.282278,2.759692e+17,1.7453717,base_800
000068,11.119832,0.20300232,1.7968034e+16,88.823149,1.6807128e+17,3.9911047,base_800
000069,11.024732,0.18764785,3.6401193e+16,62.332122,2.3251335e+17,2.3206576,base_800
000070,15.240995,0.24868919,3.2190415e+15,39.398575,8.401266e+16,3.2881344,base_800
000071,21.127866,0.32466153,1.8479349e+15,63.095205,1.653152e+17,3.0248518,base_800
000072,12.536985,0.20458377,3.1441502e+15,60.874814,1.0514541e+17,2.170263,base_800
000073,18.491583,0.30572851,9.843675e+15,65.165542,1.3633507e+17,2.4819821,base_800
000074,16.162276,0.19006789,2.1395096e+16,47.788226,1.2460283e+17,3.588532,base_800
000075,11.611521,0.24462764,4.0107824e+15,79.902794,1.9481431e+17,2.2674933,base_800
000076,10.784005,0.21393232,1.4740933e+15,42.391343,3.734495e+17,2.007737,base_800
000077,10.08515,0.31716593,1.0714932e+16,79.766697,2.4639357e+17,3.785801,base_800
000078,16.482638,0.18365913,2.6008803e+16,65.42265,2.8479614e+17,2.3594246,base_800
000079,19.217964,0.18934003,2.7155646e+16,78.943909,1.7892046e+17,2.1523512,base_800
000080,14.326354,0.29131937,2.1619993e+16,86.336125,1.6872461e+17,2.9283041,base_800
000081,11.584614,0.32209842,1.3772612e+16,51.156814,9.7281517e+16,3.8953315,base_800
000082,13.710937,0.26665991,2.5171031e+16,69.110176,3.1113263e+17,3.4762422,base_800
000083,11.462937,0.22551266,8.7133954e+15,55.085656,3.4539792e+17,3.8528634,base_800
000084,12.573566,0.30813201,2.9555273e+16,47.212735,2.0300263e+17,2.9067107,base_800
000085,21.202203,0.32050745,2.0959702e+15,60.500821,6.3179006e+16,3.7683726,base_800
000086,11.841679,0.27349024,1.8404851e+16,79.662533,3.2803729e+17,2.9055484,base_800
000087,13.383763,0.30758803,2.6800967e+16,71.287734,1.0810382e+17,2.6759713,base_800
000088,11.553055,0.23690796,2.8433012e+15,53.491083,3.7724515e+17,3.1699195,base_800
000089,18.406426,0.30883986,3.5363026e+15,40.654754,3.0207164e+17,3.0568575,base_800
000090,10.071047,0.30343743,1.7598156e+15,79.22816,8.6395022e+16,3.7653447,base_800
000091,16.576847,0.30714349,1.1528683e+15,38.450367,8.6275824e+16,3.8414806,base_800
000092,11.039016,0.32801218,3.71685e+15,74.281015,1.0306359e+17,1.8317291,base_800
000093,18.609482,0.2496925,2.4708108e+16,46.37587,1.1891565e+17,2.9475012,base_800
000094,10.180398,0.22007262,2.2013258e+16,39.301784,7.7699027e+16,3.4372262,base_800
000095,13.505128,0.29566495,9.1187153e+15,81.020388,5.265776e+16,1.9449856,base_800
000096,21.372814,0.21183819,9.9338992e+15,78.443744,2.8638853e+17,3.5232812,base_800
000097,17.386538,0.2219563,2.9985831e+16,66.742071,6.6062855e+16,3.0163719,base_800
000098,17.951893,0.31190449,3.728075e+15,74.908321,2.2366362e+17,3.489112,base_800
000099,16.732459,0.18141146,8.8746362e+15,86.860545,3.8433127e+17,2.9271197,base_800
000100,14.962161,0.25346595,4.6241845e+15,74.523234,6.4542541e+16,1.9559064,base_800
000101,21.390427,0.19237296,2.5393462e+15,56.431657,2.4986642e+17,3.8553064,base_800
000102,17.030596,0.26197046,4.8545722e+16,44.708227,1.254774e+17,2.4119753,base_800
000103,13.781088,0.22619448,1.3175849e+15,38.32486,1.310307e+17,2.6471307,base_800
000104,10.406451,0.18174152,3.2432698e+16,52.717884,2.7494221e+17,1.9081428,base_800
000105,12.746476,0.22433243,6.1155285e+15,89.267745,1.7731301e+17,2.0784354,base_800
000106,13.422361,0.29513643,4.9164321e+16,43.477802,1.3962705e+17,2.6029336,base_800
000107,19.946777,0.31725222,2.3490031e+15,68.687319,6.0235842e+16,2.8354006,base_800
000108,17.975042,0.30073542,1.1005999e+16,65.246105,1.2925823e+17,3.2799499,base_800
000109,15.209187,0.23890547,1.7064887e+16,36.433301,7.8040606e+16,3.6484019,base_800
000110,15.130355,0.22154564,4.5060215e+15,79.409832,1.4592711e+17,2.9167776,base_800
000111,19.259962,0.26589612,4.7720418e+16,37.827025,2.8266907e+17,1.7754511,base_800
000112,21.914144,0.32894797,1.1933522e+15,42.834516,1.1206346e+17,3.3645167,base_800
000113,16.212987,0.31833997,7.9819727e+15,81.14251,3.7163529e+17,3.8121874,base_800
000114,10.17258,0.26045427,1.5017021e+15,46.752708,2.2040456e+17,1.8621695,base_800
000115,11.005482,0.25751499,5.9207141e+15,71.467782,6.5485041e+16,2.5410258,base_800
000116,16.597021,0.27256942,3.4527764e+15,69.461801,6.9859983e+16,1.735529,base_800
000117,16.058518,0.24781167,1.2713887e+15,50.431128,2.0558006e+17,3.6309211,base_800
000118,12.80873,0.31351101,2.9527027e+15,65.69415,1.263232e+17,3.1618591,base_800
000119,11.591673,0.32748507,4.5747839e+16,67.709214,1.3599351e+17,3.9529688,base_800
000120,12.302764,0.22505861,1.4599523e+15,66.520674,6.5855788e+16,3.1437428,base_800
000121,15.483649,0.18644821,1.0548817e+15,82.222091,7.2407258e+16,3.9896168,base_800
000122,18.742461,0.22280431,1.2617775e+15,35.676152,1.2167605e+17,2.6044767,base_800
000123,15.946448,0.21561867,3.9939892e+15,79.606492,3.9774365e+17,2.4563118,base_800
000124,10.633418,0.27152217,3.0430589e+15,40.77828,1.6320649e+17,2.4033673,base_800
000125,20.957058,0.25156969,1.0413798e+15,50.516907,7.197379e+16,1.5332876,base_800
000126,20.726207,0.2902282,3.8577584e+16,48.082215,2.04973e+17,3.7587736,base_800
000127,11.454942,0.23612608,1.7231723e+15,53.131803,3.9922766e+17,3.3543199,base_800
000128,11.99317,0.24043121,1.0174145e+16,44.00204,1.5132584e+17,2.7829977,base_800
000129,13.014535,0.29821378,1.0961021e+16,36.977543,5.1692491e+16,3.1962175,base_800
000130,20.246126,0.27547845,5.5045352e+15,76.185513,2.977878e+17,2.273063,base_800
000131,20.788756,0.18775215,2.410093e+15,59.989931,2.0991539e+17,3.1465052,base_800
000132,15.164924,0.18038985,9.8695528e+15,74.332418,9.1647417e+16,2.3445185,base_800
000133,21.764101,0.28450921,8.8070427e+15,36.534185,7.7950961e+16,1.8713098,base_800
000134,15.734639,0.21333172,2.8415146e+16,70.775112,8.4109475e+16,1.5718498,base_800
000135,10.312087,0.30291728,9.0998791e+15,53.939335,5.3363373e+16,3.3160448,base_800
000136,14.829643,0.24310831,1.6530204e+15,65.564298,3.7001141e+17,2.3871727,base_800
000137,12.58709,0.3074965,1.8899553e+15,35.967896,3.803438e+17,3.8147914,base_800
000138,17.035963,0.31019622,3.4055978e+16,75.927035,8.7349737e+16,1.892393,base_800
000139,20.562489,0.27866351,2.6475239e+15,83.058898,2.6971483e+17,2.9443606,base_800
000140,15.371626,0.28292508,1.2262652e+16,81.953136,8.2107154e+16,3.5987745,base_800
000141,10.374358,0.2075435,2.8066186e+16,46.011729,9.5001474e+16,1.967835,base_800
000142,11.265991,0.29961896,8.337125e+15,53.301831,1.7049875e+17,2.755774,base_800
000143,17.770291,0.19163286,4.4269951e+15,65.381939,6.0429543e+16,2.6658576,base_800
000144,21.496572,0.18271071,3.5727256e+15,80.210385,9.5159886e+16,1.8222527,base_800
000145,20.774835,0.22174709,2.1776295e+15,79.433355,3.8148708e+17,3.567305,base_800
000146,11.304963,0.31625002,2.2213794e+16,66.296199,1.1732206e+17,1.8493475,base_800
000147,14.683743,0.27479048,9.4028748e+15,64.582058,1.5801696e+17,2.1231651,base_800
000148,18.648073,0.25783135,4.8555333e+16,87.921371,1.267645e+17,2.4513893,base_800
000149,15.264717,0.27324282,2.0898678e+16,86.53583,6.480328e+16,3.3568111,base_800
000150,11.430724,0.19573581,3.3119426e+15,50.571325,1.9049342e+17,3.994869,base_800
000151,18.18516,0.28775128,4.7401335e+15,75.358983,5.450234e+16,2.888862,base_800
000152,18.950518,0.20993207,1.2315425e+16,56.637302,1.9426606e+17,3.3260987,base_800
000153,17.920306,0.22047047,3.2708162e+15,86.703019,1.6379848e+17,1.7847793,base_800
000154,17.856718,0.3292306,2.7887187e+15,35.201455,7.3974287e+16,2.0683114,base_800
000155,12.345071,0.18379536,2.0104267e+15,52.873279,3.6755231e+17,2.9768075,base_800
000156,21.226822,0.194885,8.6710336e+15,47.518657,1.1014524e+17,2.8613668,base_800
000157,10.955269,0.24860852,1.4213301e+16,54.633948,2.5806793e+17,1.8415727,base_800
000158,12.627856,0.26342363,4.1929629e+16,56.451468,6.6972003e+16,2.2009519,base_800
000159,13.451202,0.23373193,1.0641217e+16,85.591925,7.7275584e+16,2.5235993,base_800
000160,16.700789,0.31046876,1.4090295e+15,66.095646,9.2954426e+16,1.5828792,base_800
000161,16.68419,0.21039776,8.1744106e+15,61.828382,1.9779987e+17,2.9920447,base_800
000162,20.345604,0.30607137,5.3027819e+15,39.224738,6.0512741e+16,1.7897016,base_800
000163,17.353308,0.2170705,1.2883194e+16,68.864549,1.0914331e+17,1.5071243,base_800
000164,14.112014,0.28387094,4.1060078e+16,63.387046,3.2098725e+17,1.6580175,base_800
000165,15.229622,0.19931215,1.9574717e+15,53.681316,2.1898052e+17,2.5037378,base_800
000166,20.26004,0.27317177,1.3863847e+15,65.306536,1.204664e+17,3.5267451,base_800
000167,18.086718,0.19988907,1.7210875e+16,77.982659,6.2978648e+16,2.9419439,base_800
000168,11.823091,0.23642605,3.2620667e+16,59.34051,1.045072e+17,2.2065122,base_800
000169,21.047376,0.29292924,3.4178657e+15,46.793326,7.5744382e+16,2.4915024,base_800
000170,20.309369,0.22926809,3.4875304e+16,68.596312,3.638326e+17,2.3259947,base_800
000171,19.741607,0.20430929,4.5886852e+15,58.731804,1.7264665e+17,3.4249937,base_800
000172,14.858221,0.1990036,1.1379129e+16,73.467467,2.305616e+17,2.9729098,base_800
000173,20.323472,0.3096408,4.5308727e+16,45.77571,2.53994e+17,3.6676862,base_800
000174,16.19837,0.2939386,4.2872059e+16,42.567891,1.4022363e+17,2.6695312,base_800
000175,19.037329,0.29724726,1.3085746e+16,65.929912,5.9667772e+16,1.8662987,base_800
000176,12.123247,0.31978621,3.9605516e+16,50.069175,5.224187e+16,1.7424632,base_800
000177,13.239931,0.21621078,2.2702108e+15,82.479295,1.0530182e+17,3.2813644,base_800
000178,19.408246,0.18329939,1.6068952e+15,85.209738,6.1623183e+16,3.6459032,base_800
000179,11.484566,0.22532219,6.7026035e+15,35.744998,3.3491191e+17,3.7790247,base_800
000180,15.991975,0.22885832,1.0379845e+16,60.551333,1.2694098e+17,3.6839366,base_800
000181,21.89319,0.29349729,3.106525e+15,52.386579,1.8159274e+17,3.5292959,base_800
000182,18.369758,0.27704328,1.6884866e+16,87.054896,1.8413264e+17,3.4335619,base_800
000183,14.631942,0.25718211,3.1571473e+15,46.925137,5.2079691e+16,2.1292985,base_800
000184,18.020492,0.21281242,6.4627784e+15,64.973927,8.5355281e+16,3.0755442,base_800
000185,19.646894,0.30644236,2.6271809e+16,63.228744,1.0136746e+17,2.788692,base_800
000186,17.820249,0.32070113,1.0073887e+15,82.886861,8.2410606e+16,2.5718498,base_800
000187,11.410953,0.32705897,3.092443e+16,87.23413,1.998828e+17,2.2186497,base_800
000188,12.948255,0.31850138,5.1712277e+15,64.632371,7.506896e+16,3.4119236,base_800
000189,18.571532,0.26948401,3.989406e+16,66.837806,8.1035854e+16,2.1731484,base_800
000190,18.970152,0.1862914,3.6653123e+16,72.35485,3.9004107e+17,1.9232784,base_800
000191,14.141606,0.27779488,3.2046846e+15,70.435817,7.0342718e+16,3.6632282,base_800
000192,21.686762,0.19726501,4.2207952e+16,88.85037,8.2791042e+16,2.3581235,base_800
000193,10.282141,0.18061049,1.9689502e+16,77.508976,2.770186e+17,3.273128,base_800
000194,21.411347,0.31934042,1.3349885e+15,69.270215,2.2474726e+17,3.8025312,base_800
000195,11.351645,0.18337808,6.3418953e+15,85.69103,1.0216261e+17,1.7785223,base_800
000196,16.949796,0.25814452,3.155525e+16,41.697059,2.1057762e+17,1.8792145,base_800
000197,17.98846,0.30198805,2.0105918e+16,87.437699,7.230812e+16,2.0431466,base_800
000198,16.140028,0.24887893,1.3957391e+16,44.358596,8.1407956e+16,3.2301984,base_800
000199,19.169593,0.30228528,1.8533533e+16,65.954678,1.2567097e+17,2.508816,base_800
000200,20.169214,0.18543275,4.0386077e+16,79.738261,1.4105152e+17,3.3872706,base_800
000201,13.839941,0.22492625,4.0670559e+16,48.986301,1.2409074e+17,3.5956344,base_800
000202,11.811438,0.27892184,2.5845618e+15,40.355162,2.3937688e+17,1.5178134,base_800
000203,10.263839,0.26154623,5.7069932e+15,57.107711,1.3467473e+17,3.108367,base_800
000204,21.515474,0.2803992,2.0872381e+15,42.057178,6.6661155e+16,3.7330859,base_800
000205,18.704026,0.30948359,1.890589e+16,76.678009,3.8941809e+17,1.7391445,base_800
000206,17.793091,0.18258636,1.6112194e+15,50.005982,1.871663e+17,1.8154744,base_800
000207,18.450118,0.25573744,2.617974e+15,61.112764,5.3593497e+16,3.7061097,base_800
000208,21.075219,0.29855639,2.686304e+15,73.270943,1.0226634e+17,2.6443582,base_800
000209,15.076905,0.3022263,3.3419775e+16,49.374196,3.6676186e+17,2.3802272,base_800
000210,15.520025,0.28082312,4.0836471e+16,48.30257,1.6891939e+17,2.3420397,base_800
000211,17.098103,0.23446955,2.6407861e+16,76.827008,6.4953199e+16,2.9706243,base_800
000212,21.582376,0.2044218,3.4703438e+16,46.334417,2.2762574e+17,2.3676451,base_800
000213,18.129471,0.29759048,3.9253549e+15,53.573405,1.67571e+17,3.587352,base_800
000214,15.779435,0.20488794,2.394497e+15,60.165875,5.7201142e+16,2.3825411,base_800
000215,14.109084,0.23053227,3.5428724e+16,63.589334,1.5261425e+17,2.473792,base_800
000216,14.842162,0.22792788,1.2074319e+16,59.5459,2.2148518e+17,3.4858576,base_800
000217,19.160377,0.28549909,1.6438739e+16,38.709649,3.2265065e+17,3.463975,base_800
000218,21.712482,0.27125489,3.4454416e+15,88.666334,9.0409932e+16,2.0726787,base_800
000219,18.662252,0.2592897,3.8206964e+15,46.269175,2.3504139e+17,2.832669,base_800
000220,19.001284,0.30854297,2.2596049e+15,47.729456,3.0091481e+17,3.3232641,base_800
000221,14.163298,0.29321546,2.3352321e+15,42.731883,2.6260696e+17,3.9620049,base_800
000222,12.955759,0.21748892,5.5337296e+15,80.634863,3.3329074e+17,2.1484156,base_800
000223,13.985553,0.31081024,1.002844e+15,53.845897,8.1889056e+16,2.8409459,base_800
000224,21.189178,0.20922962,3.7746911e+15,41.761637,1.1281254e+17,2.3733642,base_800
000225,14.455145,0.25588053,1.9691457e+15,75.514714,1.0643094e+17,2.6900252,base_800
000226,17.165433,0.31174532,2.1270387e+15,63.320429,2.4483124e+17,3.8457128,base_800
000227,20.119315,0.22993285,3.1655082e+16,48.247284,2.0573258e+17,1.8965634,base_800
000228,14.174085,0.24986439,9.6825696e+15,43.70412,3.3120251e+17,2.8757599,base_800
000229,19.231383,0.29972949,1.8316364e+15,89.322494,2.6424291e+17,3.8293548,base_800
000230,21.603263,0.29714734,5.4328644e+15,55.718192,1.1851996e+17,2.311114,base_800
000231,16.798888,0.24142194,1.1625897e+15,74.25026,6.8111402e+16,3.9814925,base_800
000232,17.669903,0.23320572,4.9384878e+15,74.984801,8.3465256e+16,1.9585497,base_800
000233,13.553354,0.23880245,4.9560199e+15,76.98768,3.265107e+17,3.4041539,base_800
000234,16.712572,0.32370636,4.4190647e+16,36.46927,1.4494743e+17,2.8806157,base_800
000235,10.914843,0.24694918,6.8234219e+15,40.996063,1.2735312e+17,1.7190061,base_800
000236,20.209906,0.29170135,2.9957718e+15,65.495483,1.258584e+17,3.2514508,base_800
000237,13.125685,0.22804655,3.8919641e+15,76.111028,1.1249729e+17,3.0469688,base_800
000238,12.476063,0.31914306,2.1214884e+15,77.121612,9.9728556e+16,3.454393,base_800
000239,13.14978,0.19844092,1.6312871e+16,49.04218,2.5954989e+17,1.7481087,base_800
000240,12.802925,0.2150213,9.7480944e+15,64.709287,3.0903767e+17,3.3766025,base_800
000241,16.332917,0.20828354,2.1285333e+16,68.491782,6.6772177e+16,2.8381015,base_800
000242,14.389557,0.18590762,1.2513592e+15,39.152541,1.3215754e+17,2.6102314,base_800
000243,12.984989,0.2908188,2.4986e+16,78.563866,1.4816237e+17,3.3142205,base_800
000244,16.610014,0.32736778,2.1357593e+15,48.78769,3.8327315e+17,2.6288267,base_800
000245,16.243673,0.29064392,7.5147917e+15,70.709684,1.4332332e+17,2.6815523,base_800
000246,20.546071,0.22311687,2.8062576e+15,38.025579,3.5101577e+17,3.777304,base_800
000247,20.421817,0.18420548,4.24719e+15,62.221391,2.0936669e+17,2.4292436,base_800
000248,20.69414,0.19046466,4.054536e+15,78.236782,3.513344e+17,3.1502043,base_800
000249,12.433434,0.22137027,1.1853992e+16,78.502941,3.3222186e+17,3.1780531,base_800
000250,17.182851,0.20130142,4.4724006e+16,46.587712,1.1080284e+17,3.509962,base_800
000251,10.285097,0.2595374,2.9347425e+15,82.670848,1.8332046e+17,1.9798783,base_800
000252,19.427263,0.30804644,7.0434847e+15,61.907742,1.666427e+17,1.6158123,base_800
000253,12.99754,0.25383837,1.0144632e+16,45.423745,5.0632248e+16,1.8652783,base_800
000254,11.27829,0.26159532,1.0227085e+15,80.390875,2.3027204e+17,2.6093597,base_800
000255,18.472744,0.32813943,3.9434555e+16,76.456247,2.1710324e+17,3.9219086,base_800
000256,15.419705,0.23410373,1.7030311e+16,64.318603,2.1013324e+17,2.4538173,base_800
000257,19.673027,0.25330878,1.7775206e+16,35.499497,5.0922986e+16,3.159138,base_800
000258,20.09485,0.30866649,5.4026412e+15,44.057668,5.9849985e+16,1.7326443,base_800
000259,19.555212,0.2440537,1.2629937e+16,44.676545,5.914371e+16,2.7274242,base_800
000260,15.294089,0.2681057,1.6084492e+16,66.441073,5.6157242e+16,2.2372234,base_800
000261,13.972506,0.18665065,8.5067402e+15,80.517964,7.4702046e+16,2.8183748,base_800
000262,11.860009,0.19374974,2.3587633e+15,43.922442,2.2920024e+17,3.5606355,base_800
000263,10.819721,0.28682397,1.3244877e+16,44.789797,2.2285287e+17,3.3667472,base_800
000264,20.281758,0.21659337,2.1018482e+16,56.727715,7.4840547e+16,1.8549676,base_800
000265,10.678492,0.27496328,1.1288449e+16,52.763955,9.556384e+16,3.8836454,base_800
000266,21.448053,0.20869968,1.580775e+15,67.307129,8.5734968e+16,2.0817755,base_800
000267,19.289064,0.24469342,1.6353401e+16,37.923127,2.5879044e+17,2.0121777,base_800
000268,11.312643,0.21014882,3.3129094e+16,52.068322,3.6920632e+17,2.1757304,base_800
000269,19.251189,0.23080625,5.8546477e+15,77.309942,3.7406749e+17,3.2089777,base_800
000270,10.15328,0.26729396,2.176449e+16,35.901992,5.0917531e+16,3.709781,base_800
000271,14.126731,0.3293122,4.3021785e+15,63.712285,1.7469993e+17,3.7396401,base_800
000272,14.76431,0.26908886,8.638457e+15,36.806388,8.4594932e+16,3.390848,base_800
000273,14.471129,0.32547892,3.2858401e+16,40.92373,1.4589697e+17,3.2778787,base_800
000274,13.201345,0.18686919,1.7192144e+15,51.663034,5.1288389e+16,3.2671712,base_800
000275,13.10588,0.29251058,1.2350624e+15,72.98773,1.0168104e+17,2.001782,base_800
000276,18.547431,0.28138984,1.009748e+16,73.319642,1.8365157e+17,2.527062,base_800
000277,16.431264,0.27442608,7.4796949e+15,62.782157,1.5113387e+17,3.6592594,base_800
000278,10.59366,0.1914749,1.1571678e+16,36.296425,7.0484002e+16,3.7610183,base_800
000279,20.889994,0.28911326,5.2759565e+15,40.850555,1.1668785e+17,2.6242469,base_800
000280,20.217356,0.31892058,2.3276385e+16,45.211024,6.3854439e+16,2.0456464,base_800
000281,13.35622,0.27014133,1.909877e+15,62.06391,1.415275e+17,3.5347761,base_800
000282,19.682363,0.26714827,1.5199379e+15,47.408114,1.9867428e+17,1.6805775,base_800
000283,20.001861,0.22978102,1.1515277e+15,49.799941,1.2889134e+17,2.6858749,base_800
000284,20.946344,0.26485187,1.5791982e+16,79.964301,2.6082226e+17,1.9652061,base_800
000285,16.037098,0.31140405,5.4062188e+15,83.608949,9.1132968e+16,2.881439,base_800
000286,18.437589,0.18731555,1.8807451e+16,53.026194,2.8681555e+17,3.0688428,base_800
000287,17.90799,0.27676464,6.6523278e+15,77.389387,7.5911612e+16,2.4275858,base_800
000288,19.202099,0.3090489,2.9700886e+16,51.554019,3.6078314e+17,2.5904309,base_800
000289,14.089951,0.23802319,1.1206629e+16,59.314049,2.3572049e+17,3.7414858,base_800
000290,18.230725,0.2588263,1.115292e+15,53.806534,1.1795134e+17,2.3993353,base_800
000291,16.190092,0.18868735,1.8422697e+15,81.695195,2.6536991e+17,2.1094599,base_800
000292,11.335707,0.31310942,2.9904839e+16,61.750709,2.2298214e+17,2.750979,base_800
000293,14.738262,0.27645877,2.0000216e+16,81.830924,2.5698971e+17,3.1257505,base_800
000294,13.824977,0.20940963,1.216121e+16,53.995543,2.7567582e+17,1.6055442,base_800
000295,14.562221,0.29745306,1.6876897e+15,70.911186,9.2426015e+16,2.4198531,base_800
000296,10.9246,0.31753677,4.4926725e+16,51.603015,5.8219537e+16,1.856402,base_800
